meter_id,timestamp,voltage,current,active_power
METER-00001,2026-04-09T00:00:00Z,230.62,8.331,1825.1
METER-00001,2026-04-09T01:00:00Z,229.36,11.535,2513.4
METER-00001,2026-04-09T02:00:00Z,228.81,12.372,2689.3
METER-00001,2026-04-09T03:00:00Z,235.64,11.51,2576.6
METER-00001,2026-04-09T04:00:00Z,231.33,7.703,1692.8
METER-00001,2026-04-09T05:00:00Z,233.05,11.322,2506.7
METER-00001,2026-04-09T06:00:00Z,234.4,4.27,950.8
METER-00001,2026-04-09T07:00:00Z,226.9,12.559,2707.2
METER-00001,2026-04-09T08:00:00Z,233.9,22.885,5085.3
METER-00001,2026-04-09T09:00:00Z,228.88,34.35,7468.9
METER-00001,2026-04-09T10:00:00Z,224.19,29.519,6286.9
METER-00001,2026-04-09T11:00:00Z,227.7,23.08,4992.5
METER-00001,2026-04-09T12:00:00Z,228.49,9.314,2021.8
METER-00001,2026-04-09T13:00:00Z,227.87,10.25,2219.0
METER-00001,2026-04-09T14:00:00Z,229.65,8.261,1802.2
METER-00001,2026-04-09T15:00:00Z,230.87,5.511,1208.7
METER-00001,2026-04-09T16:00:00Z,227.85,8.878,1921.7
METER-00001,2026-04-09T17:00:00Z,228.7,38.923,8456.8
METER-00001,2026-04-09T18:00:00Z,229.35,46.46,10122.6
METER-00001,2026-04-09T19:00:00Z,230.32,41.137,9000.9
METER-00001,2026-04-09T20:00:00Z,230.1,35.5,7759.9
METER-00001,2026-04-09T21:00:00Z,226.82,40.843,8800.9
METER-00001,2026-04-09T22:00:00Z,229.07,41.704,9075.3
METER-00001,2026-04-09T23:00:00Z,229.75,12.475,2722.8
METER-00001,2026-04-10T00:00:00Z,231.81,7.107,1565.1
METER-00001,2026-04-10T01:00:00Z,228.54,10.795,2343.7
METER-00001,2026-04-10T02:00:00Z,227.69,11.706,2532.1
METER-00001,2026-04-10T03:00:00Z,230.21,14.333,3134.6
METER-00001,2026-04-10T04:00:00Z,229.52,6.599,1438.9
METER-00001,2026-04-10T05:00:00Z,232.02,8.79,1937.5
METER-00001,2026-04-10T06:00:00Z,231.46,11.064,2432.8
METER-00001,2026-04-10T07:00:00Z,231.3,8.848,1944.2
METER-00001,2026-04-10T08:00:00Z,227.73,32.759,7087.2
METER-00001,2026-04-10T09:00:00Z,233.07,28.78,6372.3
METER-00001,2026-04-10T10:00:00Z,225.37,27.448,5876.8
METER-00001,2026-04-10T11:00:00Z,229.59,29.559,6447.3
METER-00001,2026-04-10T12:00:00Z,233.8,12.717,2824.5
METER-00001,2026-04-10T13:00:00Z,229.12,11.216,2441.4
METER-00001,2026-04-10T14:00:00Z,229.96,3.963,865.8
METER-00001,2026-04-10T15:00:00Z,226.31,10.439,2244.4
METER-00001,2026-04-10T16:00:00Z,229.1,9.236,2010.2
METER-00001,2026-04-10T17:00:00Z,229.27,43.422,9457.8
METER-00001,2026-04-10T18:00:00Z,228.41,43.436,9425.0
METER-00001,2026-04-10T19:00:00Z,233.46,44.418,9851.2
METER-00001,2026-04-10T20:00:00Z,230.63,43.833,9603.7
METER-00001,2026-04-10T21:00:00Z,229.89,41.082,8972.2
METER-00001,2026-04-10T22:00:00Z,231.84,41.759,9197.5
METER-00001,2026-04-10T23:00:00Z,232.07,10.285,2267.5
METER-00001,2026-04-11T00:00:00Z,230.01,15.78,3448.0
METER-00001,2026-04-11T01:00:00Z,228.55,11.492,2495.0
METER-00001,2026-04-11T02:00:00Z,229.73,11.128,2428.6
METER-00001,2026-04-11T03:00:00Z,230.51,9.848,2156.5
METER-00001,2026-04-11T04:00:00Z,228.44,12.112,2628.5
METER-00001,2026-04-11T05:00:00Z,225.38,7.779,1665.6
METER-00001,2026-04-11T06:00:00Z,229.31,14.386,3133.9
METER-00001,2026-04-11T07:00:00Z,230.17,7.458,1630.8
METER-00001,2026-04-11T08:00:00Z,229.89,34.455,7524.7
METER-00001,2026-04-11T09:00:00Z,227.62,32.021,6924.4
METER-00001,2026-04-11T10:00:00Z,231.15,37.271,8184.5
METER-00001,2026-04-11T11:00:00Z,226.66,33.515,7216.6
METER-00001,2026-04-11T12:00:00Z,227.93,5.98,1295.0
METER-00001,2026-04-11T13:00:00Z,232.19,2.851,628.9
METER-00001,2026-04-11T14:00:00Z,229.42,12.811,2792.2
METER-00001,2026-04-11T15:00:00Z,229.87,7.863,1717.2
